event_id,user_id,session_id,event_ts,event_name,screen_name,app_version,device_os,is_test_event
E000000179,U004315,S000016_01,2026-01-01 07:08:03,app_open,home,3.5.0,iOS,0
E000000180,U004315,S000016_01,2026-01-01 07:08:29,screen_view,home,3.5.0,iOS,0
E000000103,U001550,S000010_01,2026-01-01 08:41:00,app_open,home,3.6.1,Android,0
E000000104,U001550,S000010_01,2026-01-01 08:41:46,screen_view,agent_home,3.6.1,Android,0
E000000459,U004912,S000031_01,2026-01-01 11:32:01,app_open,home,3.5.0,Android,0
E000000460,U004912,S000031_01,2026-01-01 11:32:46,screen_view,agent_home,3.5.0,Android,0
E000000461,U004912,S000031_01,2026-01-01 11:32:53,agent_home_view,agent_home,3.5.0,Android,0
E000000463,U004912,S000031_01,2026-01-01 11:33:57,agent_response_rendered,agent_chat,3.5.0,Android,0
E000000462,U004912,S000031_01,2026-01-01 11:34:22,prompt_submit,agent_chat,3.5.0,Android,0
E000000727,U002807,S000048_01,2026-01-01 12:31:01,app_open,home,3.6.1,iOS,0
E000000728,U002807,S000048_01,2026-01-01 12:31:44,screen_view,agent_home,3.6.1,iOS,0
E000000155,U003516,S000013_01,2026-01-01 13:17:02,app_open,home,3.6.1,iOS,0
E000000156,U003516,S000013_01,2026-01-01 13:17:40,screen_view,agent_home,3.6.1,iOS,0
E000000445,U002046,S000030_01,2026-01-01 13:29:05,app_open,home,3.5.0,Android,0
E000000446,U002046,S000030_01,2026-01-01 13:29:39,screen_view,agent_home,3.5.0,Android,0
E000000491,U000498,S000032_01,2026-01-01 13:52:08,app_open,home,3.6.1,iOS,0
E000000492,U000498,S000032_01,2026-01-01 13:53:03,screen_view,home,3.6.1,iOS,0
E000000217,U000387,S000018_01,2026-01-01 15:49:09,app_open,home,3.5.0,iOS,0
E000000218,U000387,S000018_01,2026-01-01 15:49:30,screen_view,library,3.5.0,iOS,0
E000000219,U004769,S000019_01,2026-01-01 16:50:04,app_open,home,3.6.1,iOS,0
E000000221,U004769,S000019_01,2026-01-01 16:50:51,agent_home_view,agent_home,3.6.1,iOS,0
E000000220,U004769,S000019_01,2026-01-01 16:51:08,screen_view,agent_home,3.6.1,iOS,0
E000000223,U004769,S000019_01,2026-01-01 16:52:48,agent_response_rendered,agent_chat,3.6.1,iOS,0
E000000222,U004769,S000019_01,2026-01-01 16:53:46,prompt_submit,agent_chat,3.6.1,iOS,0
E000000005,U000959,S000003_01,2026-01-01 16:54:08,app_open,home,3.4.2,iOS,0
E000000006,U000959,S000003_01,2026-01-01 16:54:48,screen_view,agent_home,3.4.2,iOS,0
